itm_no_item|INVALID ITEM
itm_grain_pl|Céréales
itm_cattle_meat|Boeuf
itm_cattle_meat_pl|Boeufs
itm_bread|Pain
itm_bread_pl|Pains
itm_bier|Cervoise
itm_bier_pl|Cervoise
itm_vinn|Vin
itm_vinn_pl|Vin
itm_rhumm|Hydromel
itm_rhumm_pl|Hydromel
itm_chicken|Poulet 
itm_chicken_pl|Poulets
itm_pork|Porc
itm_pork_pl|Porcs
itm_butter|lait de vache
itm_butter_pl|laits de vache
itm_oeufss|Oeufs
itm_oeufss_pl|Oeufs
itm_soup|Soupe
itm_soup_pl|Soupe
itm_pate1|terrine de lapin
itm_pate1_pl|terrine de lapin
itm_pate2|paté de chevreuil
itm_pate2_pl|paté de chevreuil
itm_pate3|paté de sanglier
itm_pate3_pl|paté de sanglier
itm_sausc|sauscissons
itm_sausc_pl|sauscissons
itm_pasteques|Pasteque
itm_pasteques_pl|Pasteque
itm_melons|Melon
itm_melons_pl|Melon
itm_champi|Champignons
itm_champi_pl|Champignons
itm_fesan|Faisans
itm_fesan_pl|Faisans
itm_legum|Panier de légumes
itm_legum_pl|Panier de légumes
itm_potee|Potée de choux
itm_potee_pl|Potée de choux
itm_poiss_soup|Soupe de poissons
itm_poiss_soup_pl|Soupe de poissons
itm_siege_supply|Provisions
itm_siege_supply_pl|Provisions
itm_quest_wine|Cargaison de Vin
itm_quest_wine_pl|Cargaisons de Vin
itm_quest_ale|Cargaison de Cervoise 
itm_quest_ale_pl|Cargaisons de Cervoise
itm_sumpter_horse|Cheval de somme
itm_sumpter_horse_pl|Chevaux de somme
itm_sumpter_horse_paris|Cheval malade
itm_sumpter_horse_paris_pl|Cheval malade
itm_saddle_horse|Cheval de selle
itm_saddle_horse_pl|Chevaux de selle
itm_saddle_horseparis|Cheval faible
itm_saddle_horseparis_pl|Cheval faible
itm_saddle_horseparis2|Cheval faible
itm_saddle_horseparis2_pl|Cheval faible
itm_steppe_horse|Cheval des steppes
itm_steppe_horse_pl|Chevaux des steppes
itm_arabian_horse_a|Cheval du désert
itm_arabian_horse_a_pl|Chevaux du désert
itm_courser|Coursier
itm_courser_pl|Coursiers
itm_arabian_horse_b|Cheval Arabe
itm_arabian_horse_b_pl|Chevaux Arabes
itm_hunter|Cheval de chasse 
itm_hunter_pl|Chevaux de chasse 
itm_warhorse|Cheval de guerre 
itm_warhorse_pl|Chevaux de guerre 
itm_charger|Cheval de bataille 
itm_charger_pl|Chevaux de bataille 
itm_hunter_f|Cheval de chasse
itm_hunter_f_pl|Chevaux de chasse
itm_hunter_e|Cheval de chasse
itm_hunter_e_pl|Chevaux de chasse
itm_warhorse_en1|Cheval de guerre anglais
itm_warhorse_en1_pl|Chevax de guerre anglais
itm_warhorse_en2|Cheval de guerre anglais
itm_warhorse_en2_pl|Chevax de guerre anglais
itm_warhorse_en3|Cheval de guerre anglais
itm_warhorse_en3_pl|Chevax de guerre anglais
itm_warhorse_f1|Cheval de guerre français
itm_warhorse_f1_pl|Chevax de guerre français
itm_warhorse_f2|Cheval de guerre français
itm_warhorse_f2_pl|Chevax de guerre français
itm_warhorse_f3|Cheval de guerre français
itm_warhorse_f3_pl|Chevax de guerre français
itm_war_horse_teu|Cheval de guerre teutoniques
itm_war_horse_teu_pl|Chevax de guerre teutoniques
itm_breton_war_horse|Cheval de guerre Breton
itm_breton_war_horse_pl|Cheval de guerre Breton
itm_horse1|Cheval de chasse 
itm_horse1_pl|Chevax de chasse 
itm_horse6|Cheval de chasse 
itm_horse6_pl|Chevax de chasse 
itm_horse7|Cheval de chasse 
itm_horse7_pl|Chevax de chasse 
itm_horse8|Cheval de chasse 
itm_horse8_pl|Chevaux de chasse 
itm_horse1e01|Destrier Anglais 
itm_horse1e01_pl|Destrier Anglais 
itm_horse6e01|Destrier Anglais 
itm_horse6e01_pl|Destrier Anglais 
itm_horse7e01|Destrier Anglais 
itm_horse7e01_pl|Destrier Anglais 
itm_horse8e01|Destrier Anglais 
itm_horse8e01_pl|Destrier Anglais 
itm_hunting_horsee01|Cheval de chasse anglais
itm_hunting_horsee01_pl|Chevax de chasse anglais
itm_horse1f01|Cheval de chasse français
itm_horse1f01_pl|Chevaux de chasse français
itm_horse7f01|Cheval de chasse français
itm_horse7f01_pl|Chevaux de chasse français
itm_courserf01|Cheval de chasse français
itm_courserf01_pl|Chevaux de chasse français
itm_hunting_horsef01|Cheval de chasse français
itm_hunting_horsef01_pl|Chevaux de chasse français
itm_horse_bardede01|Cheval de chasse bardé Anglais 
itm_horse_bardede01_pl|Chevaux de chasse bardés Anglais
itm_horse_bardede02|Cheval de chasse bardé Anglais
itm_horse_bardede02_pl|Chevaux de chasse bardés Anglais
itm_horse_bardede03|Cheval de chasse bardé Anglais
itm_horse_bardede03_pl|Chevaux de chasse bardés Anglais
itm_horse_bardedf01|Cheval de chasse bardé Français
itm_horse_bardedf01_pl|Chevaux de chasse bardés Français
itm_horse_bardedf02|Français Cheval de chasse bardé
itm_horse_bardedf02_pl|Chevaux de chasse bardés Français
itm_warhorse2lys|Cheval de guerre français
itm_warhorse2lys_pl|Chevaux de guerre français
itm_warhorsebluewhite|Cheval de guerre français
itm_warhorsebluewhite_pl|Chevax de guerre français
itm_warhorseblueyellow|Cheval de guerre français
itm_warhorseblueyellow_pl|Chevaux de guerre français
itm_warhorsebluecross|Cheval de guerre français
itm_warhorsebluecross_pl|Chevaux de guerre français
itm_warhorse3lions|Cheval de guerre Anglais
itm_warhorse3lions_pl|Chevaux de guerre Anglais
itm_warhorseredwhite|Cheval de guerre Anglais
itm_warhorseredwhite_pl|Chevaux de guerre Anglais
itm_warhorseredyellow|Cheval de guerre Anglais
itm_warhorseredyellow_pl|Chevaux de guerre Anglais
itm_warhorseredblack|Cheval de guerre Anglais
itm_warhorseredblack_pl|Chevaux de guerre Anglais
itm_warhorseboar|Cheval de guerre
itm_warhorseboar_pl|Chevaux de guerre
itm_warhorsehre|Cheval de guerre
itm_warhorsehre_pl|Chevaux de guerre
itm_warhorsecharlesv|Cheval de guerre français
itm_warhorsecharlesv_pl|Chevaux de guerre français
itm_warhorseduguesclin|Cheval de guerre de jeanne d'arc
itm_warhorseduguesclin_pl|Chevaux de guerre de jeanne d'arc
itm_warhorseedwardiii|Cheval de guerre Anglais
itm_warhorseedwardiii_pl|Chevaux de guerre Anglais
itm_warhorseblackprince|Cheval de guerre Anglais
itm_warhorseblackprince_pl|Chevaux de guerre Anglais
itm_warhorsechandos|Cheval de guerre français
itm_warhorsechandos_pl|Chevaux de guerre français
itm_breton_warhorse_2|Cheval de Batailles Breton
itm_breton_warhorse_2_pl|Cheval de Batailles Breton
itm_chargerplainblue|Cheval de bataille plaqué français
itm_chargerplainblue_pl|Chevaux de bataille plaqués français
itm_chargershinyblue|cheval de bataille plaqué français
itm_chargershinyblue_pl|Chevaux de bataille plaqués français
itm_chargerred|Cheval de bataille plaqué français
itm_chargerred_pl|Chevaux de bataille plaqués français
itm_chargerplainred|Cheval de bataille plaqué Anglais
itm_chargerplainred_pl|Chevaux de bataille plaqués Anglais
itm_arrows|Flèches 
itm_arrows_pl|Flèches 
itm_khergit_arrows|Flèches anglaises
itm_khergit_arrows_pl|Flèches anglaises
itm_barbed_arrows|Flèches barbelées 
itm_barbed_arrows_pl|Flèches barbelées 
itm_bodkin_arrows|Flèches perçantes 
itm_bodkin_arrows_pl|Flèches perçantes 
itm_bolts|Carreaux 
itm_bolts_pl|Carreaux 
itm_steel_bolts|Carreaux de fer
itm_steel_bolts_pl|Carreaux de fer
itm_cartridges|Sacoche de munitions
itm_cartridges_pl|Sacoche de munitions
itm_pilgrim_disguise|Déguisement de pélerin
itm_pilgrim_disguise_pl|Déguisements de pélerin
itm_pilgrim_hood|Capuchon de pélerin
itm_pilgrim_hood_pl|Capuchons de pélerin
itm_leather_gloves|Gants en cuir 
itm_leather_gloves_pl|Gants en cuir 
itm_mail_mittens|Mitaines de mailles
itm_mail_mittens_pl|Mitaines de mailles
itm_scale_gauntlets|Gantelets d'écailles
itm_scale_gauntlets_pl|Gantelets d'écailles
itm_lamellar_gauntlets|Gantelet lamellaire
itm_lamellar_gauntlets_pl|Gantelets lamellaires
itm_gauntlets|Gantelets
itm_gauntlets_pl|Gantelets 
itm_wisby_gauntlets_black|Gantelets entrecoupés en cuir
itm_wisby_gauntlets_black_pl|Gantelets entrecoupés en cuir
itm_wisby_gauntlets_red|Gantelets entrecoupés en cuir
itm_wisby_gauntlets_red_pl|Gantelets entrecoupés en cuir
itm_mail_gauntlets|Gantelets maillés
itm_mail_gauntlets_pl|Gantelets maillés
itm_hourglass_gauntlets_ornate|Hourglass ornés Gantelets
itm_hourglass_gauntlets_ornate_pl|Hourglass ornés Gantelets
itm_hourglass_gauntlets|Hourglass Gantelets
itm_hourglass_gauntlets_pl|Hourglass Gantelets
itm_wrapping_boots|Bandes molletières
itm_wrapping_boots_pl|Bandes molletières
itm_woolen_hose|Bas de laine
itm_woolen_hose_pl|Bas de laine
itm_blue_hose|Bas bleu
itm_blue_hose_pl|Bas bleus
itm_hunter_boots|Botte de chasse
itm_hunter_boots_pl|Bottes de chasse
itm_hide_boots|Bottes en peau
itm_hide_boots_pl|Bottes en peau
itm_ankle_boots|Bottines 
itm_ankle_boots_pl|Bottines 
itm_nomad_boots|Bottes de nomade
itm_nomad_boots_pl|Bottes de nomade
itm_leather_boots|Bottes de cuir 
itm_leather_boots_pl|Bottes de cuir 
itm_splinted_leather_greaves|Grèves lamellaires en cuir 
itm_splinted_leather_greaves_pl|Grèves lamellaires en cuir 
itm_mail_chausses|Chausses de mailles 
itm_mail_chausses_pl|Chausses de mailles 
itm_splinted_greaves|Grèves lamellaires 
itm_splinted_greaves_pl|Grèves lamellaires 
itm_mail_boots|Bottes de mailles 
itm_mail_boots_pl|Bottes de mailles 
itm_iron_greaves|Grèves en fer 
itm_iron_greaves_pl|Grèves en fer 
itm_khergit_leather_boots|Bottes de cuir Waless
itm_khergit_leather_boots_pl|Bottes de cuir Waless
itm_splinted_greaves_e1|Grèves en cuir Anglaises entrecoupées 
itm_splinted_greaves_e1_pl|Grèves en cuir Anglaises entrecoupées 
itm_splinted_greaves_f1|Grèves en cuir Francaises entrecoupées 
itm_splinted_greaves_f1_pl|Grèves en cuir Francaises entrecoupées
itm_mail_chausses_e1|chausses maillés Anglaises 
itm_mail_chausses_e1_pl|chausses maillés Anglaises
itm_mail_chausses_f1|chausses maillés Françaises 
itm_mail_chausses_f1_pl|chausses maillés Françaises 
itm_splinted_greaves_nospurs|Grèves entrecoupées
itm_splinted_greaves_nospurs_pl|Grèves entrecoupées
itm_splinted_greaves_spurs|Grèves entrecoupées avec Eperons
itm_splinted_greaves_spurs_pl|Grèves entrecoupées avec Eperons
itm_shynbaulds|Schynbaulds
itm_shynbaulds_pl|Shynbaulds
itm_steel_greaves|Grèves tubées
itm_steel_greaves_pl|Grèves tubées
itm_lady_dress_ruby|Robe de dame
itm_lady_dress_ruby_pl|Robes de dame
itm_lady_dress_green|Robe de dame
itm_lady_dress_green_pl|Robes de dame
itm_lady_dress_blue|Robe de dame
itm_lady_dress_blue_pl|Robes de dame
itm_red_dress|Robe rouge
itm_red_dress_pl|Robes rouges
itm_brown_dress|Robe marron
itm_brown_dress_pl|Robes marron
itm_green_dress|Robe verte
itm_green_dress_pl|Robes vertes
itm_khergit_lady_dress|Robe de femme Wales
itm_khergit_lady_dress_pl|Robes de femme Wales
itm_khergit_lady_dress_b|Robe de femme Wales en cuir
itm_khergit_lady_dress_b_pl|Robes de femmes Wales en cuir
itm_courtly_outfit|Tenue élégante
itm_courtly_outfit_pl|Tenues élégantes
itm_nobleman_outfit|Tenue de noble
itm_nobleman_outfit_pl|Tenues de noble
itm_nobleman_outfit_charles|Tenue de Noble
itm_nobleman_outfit_charles_pl|Tenue de Noble
itm_nobleman_outfit_anglais|Tenue de Noble
itm_nobleman_outfit_anglais_pl|Tenue de Noble
itm_nobleman_out|Tenue de Noble
itm_nobleman_out_pl|Tenue de Noble
itm_nobleman_out_fr|Tenue de Noble
itm_nobleman_out_fr_pl|Tenue de Noble
itm_nomad_armor|Armure de nomade
itm_nomad_armor_pl|Armures de nomade
itm_khergit_armor|Armure Wales
itm_khergit_armor_pl|Armures Wales
itm_leather_jacket|Pourpoint en cuir 
itm_leather_jacket_pl|Pourpoints en cuir 
itm_rawhide_coat|Manteau de cuir brut
itm_rawhide_coat_pl|Manteaux de cuir brut
itm_leather_armor|Armure en cuir 
itm_leather_armor_pl|Armures en cuir 
itm_fur_coat|Manteau de fourrure 
itm_fur_coat_pl|Manteaux de fourrure 
itm_ribaude_dresss|Robe de fille de joie
itm_ribaude_dresss_pl|Robe de fille de joie
itm_ribaude_dress6bluues|Robe de fille de joie bleue
itm_ribaude_dress6bluues_pl|Robe de fille de joie bleue
itm_coat|Manteau
itm_coat_pl|Manteaux
itm_leather_coat|Manteau de cuir 
itm_leather_coat_pl|Manteaux de cuir
itm_long_mail_coat|Longue cotte de mailles
itm_long_mail_coat_pl|Longues cottes de mailles
itm_sleeveless_mail_coat|Cotte de mailles sans manches 
itm_sleeveless_mail_coat_pl|Cottes de mailles sans manches 
itm_sleeveless_coat|Manteau sans manches
itm_sleeveless_coat_pl|Manteaux sans manches
itm_hide_coat|Manteau en peau
itm_hide_coat_pl|Manteaux en peau
itm_merchant_outfit|Tenue de marchand
itm_merchant_outfit_pl|Tenues de marchand
itm_homespun_dress|Robe filée à la main 
itm_homespun_dress_pl|Robes filées à la main 
itm_thick_coat|Manteau épais
itm_thick_coat_pl|Manteaux épais
itm_coat_with_cape|Manteau avec cape 
itm_coat_with_cape_pl|Manteaux avec cape 
itm_steppe_outfit|Tenue de barbare 
itm_steppe_outfit_pl|Tenues de barbares 
itm_nordic_outfit|Tenue nordique 
itm_nordic_outfit_pl|Tenues nordiques
itm_nordic_armor|Armure nordique
itm_nordic_armor_pl|Armures nordiques
itm_hide_armor|Armure en peau
itm_hide_armor_pl|Armures en peau
itm_cloaked_tunic|Tunique drapée
itm_cloaked_tunic_pl|Tuniques drapées
itm_sleeveless_tunic|Tunique sans manches
itm_sleeveless_tunic_pl|Tuniques sans manches
itm_sleeveless_leather_tunic|Tunique de cuir sans manches
itm_sleeveless_leather_tunic_pl|Tuniques de cuir sans manches
itm_linen_shirt|Chemise de lin 
itm_linen_shirt_pl|Chemises de lin 
itm_wool_coat|Manteau en laine 
itm_wool_coat_pl|Manteaux en laine 
itm_dress|Robe
itm_dress_pl|Robes
itm_blue_dress|Robe de paysane
itm_blue_dress_pl|Robes de paysane
itm_blue_dress_tw|Robe bleue
itm_blue_dress_tw_pl|Robe bleue
itm_blue_dress_tw2|Robe de paysane
itm_blue_dress_tw2_pl|Robe de paysane
itm_peasant_dress|Robe de paysanne
itm_peasant_dress_pl|Robes de paysanne
itm_woolen_dress|Robe en laine 
itm_woolen_dress_pl|Robes en laine 
itm_shirt|Chemise 
itm_shirt_pl|Chemises
itm_linen_tunic|Tunique de lin
itm_linen_tunic_pl|Tuniques de lin
itm_short_tunic|Tunique verte
itm_short_tunic_pl|Tuniques vertes
itm_red_shirt|Chemise rouge
itm_red_shirt_pl|Chemises rouges
itm_red_tunic|Tunique rouge
itm_red_tunic_pl|Tuniques rouges
itm_robe|Robe
itm_robe_pl|Robes
itm_coarse_tunic|Tunique avec gilet
itm_coarse_tunic_pl|Tuniques avec gilet
itm_leather_apron|Tablier de cuir
itm_leather_apron_pl|Tabliers de cuir
itm_tabard|Tabard
itm_tabard_pl|Tabards
itm_leather_vest|Gilet en cuir 
itm_leather_vest_pl|Gilets en cuir 
itm_gambeson|Gambison
itm_gambeson_pl|Gambisons
itm_blue_gambeson|Gambison bleu
itm_blue_gambeson_pl|Gambisons bleus
itm_red_gambeson|Gambison rouge
itm_red_gambeson_pl|Gambisons rouges
itm_padded_cloth|Jaque
itm_padded_cloth_pl|Jaques
itm_aketon_green|Vêtement matelassé
itm_aketon_green_pl|Vêtements matelassés
itm_leather_jerkin|Broigne de cuir
itm_leather_jerkin_pl|Broignes de cuir
itm_nomad_vest|Gilet de nomade
itm_nomad_vest_pl|Gilets de nomade
itm_ragged_outfit|Haillon
itm_ragged_outfit_pl|Haillons
itm_padded_leather|Cuir matelassé
itm_padded_leather_pl|Cuirs matelassés
itm_tribal_warrior_outfit|Manteau de cuir lourd
itm_tribal_warrior_outfit_pl|Manteaux de cuir lourds
itm_studded_leather_coat|Manteau en cuir clouté 
itm_studded_leather_coat_pl|Manteaux en cuir clouté 
itm_haubergeon|Haubergeon
itm_haubergeon_pl|Haubergeons
itm_mail_shirt|Chemise de mailles 
itm_mail_shirt_pl|Chemises de mailles 
itm_mail_hauberk|Haubert de mailles 
itm_mail_hauberk_pl|Hauberts de mailles 
itm_mail_with_surcoat|Cotte de mailles avec surcot 
itm_mail_with_surcoat_pl|Cottes de mailles avec surcot 
itm_surcoat_over_mail|Surcot sur cotte de mailles 
itm_surcoat_over_mail_pl|Surcots sur cotte de mailles 
itm_brigandine_red|Brigandine
itm_brigandine_red_pl|Brigandines
itm_banded_armor|Armure cerclée
itm_banded_armor_pl|Armures cerclées
itm_cuir_bouilli|Cuir bouilli
itm_cuir_bouilli_pl|Cuirs bouillis
itm_coat_of_plates|Cotte de plates
itm_coat_of_plates_pl|Cottes de plates
itm_coat_of_plates_red|Cotte de plates
itm_coat_of_plates_red_pl|Cottes de plates
itm_plate_armor|Armure de plate
itm_plate_armor_pl|Armures de plate
itm_tavern_shirt|Tunique d'artisant
itm_tavern_shirt_pl|Tunique d'artisant
itm_g_tw_shirt|Tunique
itm_g_tw_shirt_pl|Tunique
itm_pelt_coat|Manteau de fourrure
itm_pelt_coat_pl|Manteaux de fourrure
itm_sarranid_elite_armor|Armure d'élite Arabe
